id,nome,idade,sexo,"estado, renda_mensal"
183,João Albuquerque,49,F,AP,5945.89
184,Aylla das Neves,77,M,PI,2785.69
185,Marina Moura,98,F,SE,7527.61
186,Dr. Leandro Correia,53,F,PA,2461.17
187,Oliver Câmara,53,F,CE,7599.86
188,Ana Luiza Barros,31,F,AP,8025.34
189,Murilo Guerra,92,F,BA,2746.28
190,Vinícius Pastor,96,F,SP,6610.77
191,José Mendes,93,F,RO,1138.44
192,Lorenzo Fernandes,27,M,RR,3431.59
193,Ester Andrade,98,M,TO,9979.93
194,Vitor Monteiro,55,F,AP,2975.67
195,Isadora Pacheco,94,F,PR,1635.13
196,Sra. Evelyn Campos,100,M,GO,6275.36
197,Dr. Murilo da Conceição,56,M,PR,5032.24
198,Gustavo Peixoto,57,M,GO,9460.39
199,Yan Rios,85,F,RR,5848.98
200,Otto Sá,52,M,GO,1226.12
201,Dr. Carlos Eduardo Fonseca,88,F,PA,6404.35
202,Paulo Siqueira,92,F,AC,9532.85
203,Isaque Mendonça,23,M,GO,8287.31
204,Ana Luiza Souza,57,M,PR,9229.54
205,Brenda Fogaça,53,M,PE,9774.91
206,Pedro Gonçalves,93,F,RN,5145.72
207,Dr. Carlos Eduardo Cassiano,54,F,CE,2704.48
208,Maysa Martins,73,M,SC,6809.11
209,Manuela Gomes,69,F,MT,1807.09
210,Benjamin Camargo,48,M,RS,6738.59
211,Davi Lucas Porto,38,F,PI,6918.07
212,Luna Vieira,65,F,MG,8295.06
213,Kaique Costela,45,M,SP,9604.1
214,Luiz Gustavo Porto,30,F,SC,1642.77
215,Otto Sampaio,25,F,TO,1871.29
216,Vinicius Machado,99,F,MG,9587.56
217,Gabriela Machado,99,F,CE,4229.57
218,Milena Casa Grande,57,F,TO,2166.41
219,Noah Caldeira,69,M,PI,5096.24
220,Henry Gabriel Dias,73,M,PE,8369.83
221,Felipe Souza,24,M,BA,9680.95
222,Sofia Teixeira,65,M,RR,7934.56
223,Bárbara Cirino,59,F,SE,3375.72
224,José Pedro Santos,79,M,GO,8889.59
225,Laura Mendonça,78,F,AC,9889.72
226,Enzo Gabriel Novais,93,F,RR,4803.36
227,Ana Laura Viana,87,M,TO,6968.87
228,Dra. Ana Beatriz Lopes,57,F,RS,2020.07
229,Yasmin Montenegro,88,M,MG,3726.57
230,Dra. Daniela Gomes,67,F,MT,1418.62
231,Hadassa Carvalho,18,F,ES,9135.91
232,Luan Cavalcante,83,F,TO,3805.78
233,Ana Cecília Ferreira,78,M,MG,4365.17
234,Maria Araújo,33,F,RO,9990.17
235,Arthur Miguel Pereira,70,M,SP,1921.8
236,Vinicius Souza,28,M,RR,8998.01
237,Mariane Silva,31,M,TO,4728.11
238,Diego Viana,74,M,MS,1459.99
239,Julia Câmara,76,M,PI,3879.61
240,Laís Pinto,72,M,RO,4076.74
241,Arthur Gomes,71,M,DF,4500.08
242,André Abreu,86,F,DF,4169.58
243,Helena Fonseca,71,M,MG,1376.27
244,Emilly Martins,51,F,RO,6007.71
245,Thiago Monteiro,76,F,AM,4831.97
246,Gabriel Melo,28,F,AP,2532.97
247,Zoe Fernandes,59,F,AL,5471.55
248,Evelyn da Paz,36,M,ES,2485.62
249,Maria Helena da Cunha,99,F,GO,5478.64
250,Srta. Zoe Duarte,100,F,RO,2234.3
251,Sra. Emilly Guerra,21,F,AC,5892.11
252,Dr. Lucas Leão,80,M,SC,1991.93
253,Rael Guerra,18,F,RS,4191.44
254,Yago Lopes,50,M,AC,4559.35
255,Diego Vieira,50,M,PI,3233.04
256,Dra. Nina Viana,90,M,PR,3351.81
257,Evelyn Dias,27,F,PE,8292.29
258,Maria Julia Cavalcanti,73,M,TO,9695.45
259,Yuri Cirino,88,M,MS,8124.24
260,Sra. Alexia das Neves,60,F,PI,4662.33
261,Ísis da Rosa,20,M,DF,5895.62
262,Yan Barbosa,35,M,PA,4611.4
263,Isadora Azevedo,46,M,PE,7982.68
264,Marina da Cruz,63,M,RN,3456.95
265,Rhavi Ramos,38,F,SC,4449.2
266,Cauê da Rosa,65,F,MS,8038.03
267,Rafaela Costa,60,F,AP,9006.32
268,Kevin Marques,38,M,AM,3336.46
269,Luara Viana,35,M,MS,2789.23
270,Dra. Juliana Pereira,85,F,SP,3239.22
271,Pedro Lucas Jesus,32,F,RO,5881.17
272,Isabella Moura,70,M,RJ,7646.17
273,Enzo Moura,77,F,TO,1717.02
274,Srta. Lara Machado,87,F,PB,2027.47
275,Lara Sales,57,M,MG,7311.42
276,Ravi Lucca Souza,31,M,DF,9838.55
277,Luana Fogaça,72,F,RJ,2868.77
278,Sarah da Cruz,81,F,BA,3289.7
279,Stephany Moreira,80,F,RR,5251.26
280,Alice Sampaio,92,F,SC,7050.66
281,Maria Alice Nunes,89,F,ES,2224.68
282,Sophia Gonçalves,61,M,PI,1030.77
283,Ana Luiza das Neves,40,M,PA,2972.91
284,Dante Vasconcelos,90,F,PI,3812.22
285,Ravi Rios,61,M,PA,6437.91
286,Sophia Gomes,30,F,PB,4745.79
287,Sra. Raquel Nascimento,63,M,RS,9748.76
288,Levi Siqueira,80,M,SP,6766.58
289,Nathan Camargo,92,M,SE,5546.69
290,Josué Monteiro,91,M,SE,9540.93
291,Srta. Maria Vitória da Rosa,93,M,PI,4831.87
292,Cauê Gonçalves,39,M,RJ,6370.78
293,Luiz Miguel Fogaça,90,F,MT,9092.02
294,Sra. Ana Clara Teixeira,38,F,SE,8887.18
295,Helena Porto,46,M,RS,3032.57
296,Mateus Borges,100,F,SE,1823.41
297,Sophie Ribeiro,37,M,AP,3408.56
298,Isadora Cavalcante,95,F,RR,3361.95
299,Oliver Porto,67,M,SC,3986.91
300,Ana Júlia Duarte,82,M,SE,3908.86
301,Yago Rodrigues,55,F,SP,4578.36
302,Dante Freitas,70,F,RS,6973.89
303,Rodrigo da Paz,69,M,CE,6009.13
304,Hadassa Porto,68,F,PR,9425.48
305,Calebe Fonseca,43,M,MT,2998.95
306,Vitória Fonseca,51,F,TO,3451.19
307,Luiz Otávio Peixoto,87,F,MS,4445.08
308,João da Costa,68,F,RR,3299.01
309,Agatha da Costa,69,F,RR,4127.78
310,Antony Rezende,64,F,MT,1912.72
311,Igor Farias,96,F,SC,4903.03
312,Luiz Otávio Macedo,33,F,PA,2406.39
313,Eloah Pires,41,F,MG,6520.78
314,Vicente Cassiano,97,M,RR,5597.48
315,Luana Marques,19,M,MA,1286.56
316,Aurora Correia,98,F,RJ,5258.33
317,Sra. Heloísa Nogueira,61,F,PE,1445.84
318,Heloisa Sampaio,27,F,GO,5192.32
319,Maria Clara Azevedo,45,M,PB,2289.88
320,Bella Vargas,76,M,ES,8195.22
321,Heloisa Lopes,50,F,BA,3547.79
322,Srta. Mariane da Cunha,55,F,MT,8911.37
323,Juliana Nogueira,25,M,AM,9733.46
324,Davi Luiz Rezende,31,F,PR,2829.36
325,Stephany Lima,81,M,RN,5852.75
326,Aylla Guerra,46,M,RJ,3141.03
327,Maya Duarte,47,F,RN,3138.73
328,Marcos Vinicius da Cruz,24,M,PB,8156.28
329,Laura Gonçalves,53,F,ES,8189.68
330,Antonella Ramos,21,F,RO,2024.73
331,Lunna Camargo,72,M,AM,3555.59
332,Henry Cavalcanti,27,M,DF,6898.64
333,Ayla Garcia,51,M,SP,4257.29
334,Caleb Pimenta,53,F,SE,8288.25
335,Alícia Pastor,60,F,CE,6788.8
336,Joaquim Campos,59,M,ES,9211.86
337,Otávio Aparecida,76,F,CE,6307.38
338,Yago Campos,88,F,RO,7159.98
339,Sara Guerra,79,M,MA,1373.21
340,Maria Sophia Cavalcante,90,M,RN,2856.45
341,Davi Luiz Mendes,35,F,DF,9335.48
342,Eduardo Cavalcante,71,F,SE,9890.75
343,Bernardo Teixeira,32,F,PE,2811.25
344,Isabel Pereira,22,M,AP,1026.22
345,Carlos Eduardo Dias,63,F,SC,3179.42
346,Marcos Vinicius Aparecida,74,M,CE,7642.59
347,Maria Alice Casa Grande,23,F,SE,1795.82
348,Dra. Ana Campos,91,M,PB,3301.2
349,Sr. Pietro Caldeira,56,F,TO,5748.2
350,Eloá Pires,21,F,PI,4151.73
351,Maria Flor Vieira,62,M,PB,9210.55
352,Srta. Olivia Macedo,51,F,SP,7472.12
353,Rhavi Borges,62,M,PB,5368.76
354,Carlos Eduardo Porto,78,F,PB,6408.15
355,Isabel Machado,18,F,SP,9459.58
356,Caroline Pereira,66,F,CE,7412.89
357,Theo Farias,27,M,RO,4647.39
358,Maria Clara da Mota,93,F,MS,8896.13
359,Fernando Nunes,40,F,MG,8263.56
360,Allana Fonseca,65,M,RJ,1392.76
361,Marina Sales,27,F,RO,3245.78
362,Apollo Borges,47,F,RO,1328.68
363,Melina da Mota,91,M,AM,8033.35
364,Francisco Martins,76,M,MT,5705.44
365,Sra. Maria Vitória Pacheco,97,F,SE,9514.73
366,Sra. Ana Laura Araújo,78,M,PB,1222.74
367,Sr. Davi Miguel Melo,75,M,AC,5568.82
368,Luiz Gustavo Oliveira,60,F,AL,8146.84
369,Luísa Alves,99,F,RJ,7092.08
370,Isaque Vieira,82,M,AP,6466.77
371,Caleb Fonseca,74,M,CE,3878.17
372,Diogo Moreira,38,M,MS,1415.11
373,Vitor Gabriel Camargo,94,F,AC,6090.29
374,Maria Julia Macedo,98,M,MA,5642.46
375,Rafael Jesus,47,F,RN,9859.11
376,Dr. Liam Fonseca,70,M,RJ,8854.06
377,Cauê da Rocha,82,M,MT,2566.55
378,Lucas Barbosa,45,F,PA,5503.14
379,Alexia Azevedo,79,M,CE,8460.64
380,Luana Albuquerque,30,M,AL,3708.03
381,Leonardo Rodrigues,50,M,AP,6712.09
382,Rebeca Vargas,48,M,PR,1226.8
383,Mariah Cunha,81,M,AL,8904.22
384,Ana Carolina Pacheco,31,F,AM,4294.74
385,Dr. Isaque Jesus,51,F,DF,9956.17
386,Dra. Clara Rodrigues,39,F,RJ,3974.53
387,Benicio Cunha,58,M,RS,2359.01
388,Agatha Cirino,33,F,PB,1377.38
389,Sra. Hellena Casa Grande,35,M,SC,5028.5
390,Bianca Castro,21,M,GO,6703.74
391,Benjamin Moraes,70,F,RN,9221.4
392,Lorenzo da Mota,41,M,DF,2239.8
393,Dr. Levi Novais,90,M,AM,7385.19
394,Enzo Gabriel Dias,72,M,PI,1493.85
395,Juan Vargas,60,F,PE,5260.51
396,Sr. Raul Araújo,81,M,PI,9169.37
397,Maria Clara Santos,54,F,RR,2816.86
398,Davi da Paz,61,M,RN,5898.9
399,Caleb Cassiano,78,M,MG,2417.47
400,Bianca Gonçalves,37,M,SC,5414.7
401,Mateus Mendes,97,F,DF,9362.17
402,Maria Laura Andrade,65,M,PI,2233.49
403,Sra. Esther Jesus,40,F,AL,3302.25
404,Pietra Barbosa,60,F,DF,6558.22
405,Eduardo Sá,41,M,AM,3233.01
406,Kamilly Casa Grande,62,M,SP,7948.97
407,Renan Macedo,85,F,SE,4980.2
408,Caio Silveira,70,F,RR,6746.65
409,Arthur Miguel Martins,50,F,PE,9833.86
410,Nathan Aparecida,100,F,MT,1891.07
411,Heloísa Costa,19,M,PR,1691.92
412,Asafe Duarte,24,M,PB,2578.34
413,Dr. José Miguel Pastor,31,M,MG,8729.28
414,Sr. Bento Viana,75,F,RS,2599.66
415,Henry Rios,21,F,TO,5022.67
416,Catarina Macedo,59,F,AM,9317.58
417,Maria Eduarda da Luz,66,M,PB,6159.54
418,Lunna Moraes,27,M,AP,5070.33
419,Ana Liz Cavalcanti,70,F,PB,5514.97
420,Ana Júlia Lima,98,F,PB,1868.57
421,Marina Castro,79,F,AL,5710.9
422,Bento Viana,90,F,AM,5144.51
423,Eduarda Gomes,50,F,PI,6744.35
424,Ágatha Fonseca,23,M,MT,5073.43
425,Dra. Ana Carolina Costela,21,F,RS,4492.47
426,Evelyn das Neves,55,M,BA,8088.39
427,Davi Miguel Vieira,60,F,PB,7094.24
428,Dra. Maya da Mota,24,M,RN,4444.16
429,Sabrina Cavalcanti,31,M,RN,6167.99
430,Amanda Monteiro,42,F,RO,7460.22
431,Igor Sampaio,81,M,PE,2226.14
432,Bruno Casa Grande,79,F,CE,7829.32
433,Dr. Arthur Gabriel Mendonça,26,M,SP,2708.46
434,Luna Leão,75,M,PA,3106.71
435,Camila Oliveira,54,F,MG,6173.91
436,Luan Brito,66,M,AP,1645.59
437,Valentim Rodrigues,61,F,PI,6217.07
438,Larissa Cassiano,33,M,DF,9254.84
439,Maria Alice Silveira,55,F,SE,1721.75
440,Beatriz Azevedo,75,M,AM,7929.03
441,Miguel Porto,29,M,PA,2661.34
442,Fernando Pimenta,59,F,SP,8679.44
443,Eduardo Araújo,100,M,AL,8988.82
444,Nina Nogueira,64,F,ES,3160.45
445,Clara Cassiano,60,F,PR,7043.57
446,Melissa da Paz,75,M,CE,4253.88
447,Sr. Raul Carvalho,67,F,RJ,2824.85
448,Melina Lima,78,M,RO,4203.86
449,Manuela Ferreira,30,M,AC,8593.85
450,Brenda Pinto,73,F,MA,8065.57
451,Rafaela Freitas,64,M,PI,1540.54
452,Jade Campos,55,F,RR,3264.01
453,Milena Mendonça,96,M,AM,1763.46
454,Guilherme Almeida,50,M,AP,2912.7
455,Fernando da Mata,49,F,RN,1216.74
456,Srta. Esther Moreira,61,M,TO,7787.87
457,Dra. Maria Vitória Moreira,83,F,MG,7928.85
458,Alícia da Costa,74,M,MG,1385.31
459,André Borges,81,M,MA,9256.99
460,Erick Sousa,89,F,SC,2130.62
461,Thales Cavalcanti,31,F,PB,4952.39
462,Otto Marques,75,M,MS,6742.57
463,Ana Sophia Cirino,84,F,MG,4812.3
464,Alexia Machado,25,F,AP,5289.79
465,João Lucas Pacheco,60,F,MS,9490.97
466,Beatriz Pereira,30,F,GO,1073.07
467,Maria Alves,37,F,MG,2464.96
468,Ravy da Mota,86,M,MA,8142.55
469,Isabelly Aparecida,91,M,PE,1069.4
470,Dr. Yan Costa,93,M,PE,2302.82
471,Vitória Correia,43,F,RS,7372.75
472,Matteo Freitas,95,M,PR,9653.35
473,Sra. Eloá Porto,74,M,PA,3741.6
474,Asafe Freitas,60,F,PR,2859.1
475,Júlia Moraes,65,F,RS,4329.79
476,Anna Liz Novais,57,M,PA,9870.41
477,Sr. Anthony Gabriel Moreira,63,M,DF,6391.38
478,Caio Melo,63,M,SP,4491.66
479,Dra. Emanuelly da Cunha,77,M,RN,2677.05
480,Sra. Marina Castro,28,F,MG,9283.93
481,Maria Isis Peixoto,34,M,RJ,9821.06
482,Letícia da Conceição,54,F,PB,8387.37
483,Noah Martins,35,F,GO,8417.57
484,Yasmin Jesus,48,M,AL,7666.9
485,Ana Luiza da Mata,19,M,DF,2552.52
486,Henrique Sampaio,88,M,SP,6020.05
487,Samuel Silveira,24,F,BA,6400.79
488,Bento Azevedo,60,M,PA,3347.96
489,Bárbara Moura,88,M,AL,6940.37
490,Cecilia Moreira,90,M,AP,7457.0
491,Luna Garcia,89,F,CE,5933.69
492,Ana Sophia da Rocha,63,M,AP,2875.86
493,Thiago Ramos,84,M,ES,7862.28
494,Hadassa Martins,33,F,SE,1609.89
495,Sra. Gabrielly Marques,40,F,DF,6003.18
496,Isabela Fernandes,59,F,AP,6378.38
497,Igor Sampaio,87,M,TO,9467.07
498,Srta. Maria Sophia da Costa,71,M,PB,7480.74
499,Srta. Hellena Câmara,79,F,GO,5901.02
500,Dr. Vitor Caldeira,27,F,DF,9301.73
501,Ana Liz Aparecida,48,M,TO,5460.7
502,Alana Nogueira,65,F,DF,1369.53
503,Dra. Maria Alice Fernandes,95,M,PI,3169.11
504,Rodrigo Macedo,45,F,MA,5841.11
505,Ana Cecília da Cunha,75,F,PR,8129.03
506,Miguel Santos,32,F,PE,1656.4
507,Ana Liz Andrade,45,M,PA,5895.19
508,Srta. Maria Helena Castro,84,F,BA,1790.08
509,Otávio Rodrigues,34,F,RO,9260.61
510,Lucca Araújo,80,F,CE,6481.65
511,Dra. Mariane Novaes,78,M,MG,3099.61
512,Gael Porto,64,F,SP,6208.8
513,Fernanda da Conceição,22,F,MG,7566.65
514,Srta. Yasmin Barros,57,M,MT,2815.42
515,Yago Monteiro,82,F,PR,1466.75
516,Isabel Teixeira,28,M,AP,4747.86
517,Davi Miguel Dias,55,F,MA,6590.14
518,Dra. Amanda Costa,65,M,MG,4359.88
519,Sr. João Casa Grande,22,F,SP,5988.66
520,Dra. Maria Júlia da Cruz,62,M,PI,2710.73
521,Srta. Luana Moreira,91,F,ES,3548.93
522,Isabelly Cavalcanti,25,F,SP,5919.71
523,Elisa Rezende,61,M,MS,8078.47
524,Melina Costa,92,M,ES,5310.64
525,Calebe da Costa,79,M,ES,3360.61
526,Augusto das Neves,21,M,ES,6759.81
527,Bianca Sá,46,M,AC,1130.6
528,Leonardo Costa,22,M,MG,9842.36
529,Bárbara Jesus,20,F,SC,7645.77
530,Júlia Pimenta,29,M,RR,4523.67
531,Maria Isis Fogaça,52,M,AP,9528.71
532,Laís Nogueira,56,M,GO,5810.72
533,Srta. Maria Flor Câmara,39,F,RN,9749.88
534,Isabela Cunha,67,M,AP,4028.78
535,Sophia Marques,74,F,TO,1291.24
536,Sr. Nicolas Mendonça,20,M,RJ,6556.09
537,Davi Luiz Sousa,48,F,MG,5704.78
538,Nicole Sousa,58,F,RO,5844.92
539,Otávio Pinto,61,M,PB,6057.34
540,Matteo Machado,61,M,GO,8066.32
541,Dra. Cecília Sampaio,53,F,SP,1109.87
542,Sra. Sofia Lima,27,F,DF,3072.55
543,Dr. Rhavi Costa,57,F,TO,4925.19
544,Laura Nunes,67,F,MS,8231.64
545,Helena Sá,22,F,RN,7680.56
546,Daniel Oliveira,44,M,RR,2147.02
547,Liz Novais,67,M,PB,3824.51
548,Dra. Emanuelly Montenegro,80,F,SP,1489.25
549,Dra. Maria Helena Costa,52,M,MS,2091.97
550,Igor Costela,18,M,SP,2453.69
551,Vitor Gabriel Fogaça,35,F,PI,8194.6
552,Júlia Ferreira,73,M,PB,6931.73
553,Dra. Brenda Rodrigues,83,M,AP,3996.8
554,Luiz Miguel Lopes,65,F,MG,3621.12
555,Dr. Ravi Lucca Nascimento,20,F,PR,7270.58
556,Vitor Hugo Montenegro,25,M,MT,2277.63
557,Bárbara Machado,47,F,PI,3083.17
558,Dr. Bento Pastor,91,F,RO,3139.61
559,Clara Camargo,64,F,DF,8960.95
560,Isadora Albuquerque,64,M,MT,5512.47
561,Rebeca Albuquerque,35,M,AL,3601.69
562,Calebe Cirino,72,F,MT,3075.91
563,Valentim Cavalcante,39,F,GO,3845.28
564,Caleb Barros,20,M,BA,4005.64
565,Gabriel Camargo,49,F,RS,8806.48
566,Davi Miguel Moraes,96,M,CE,6969.15
567,Calebe da Costa,38,F,MA,7315.06
568,Dr. Pedro Nascimento,74,F,ES,9992.88
569,Isabel Cirino,67,M,MT,3076.34
570,Arthur Duarte,82,F,MA,6568.87
571,Cecília Freitas,100,F,GO,8622.64
572,Vinicius Novais,35,M,PI,2062.25
